IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
309,0,24.83,24.86,54.34,54.37,9.1,3.22,3.44,0.93,4.0,3.55,0.74,0.8,5.44,4.41,0.75,43.03,41.17,1633,2408,1895.1
310,0,34.0,34.04,54.41,54.41,8.02,2.78,2.93,0.95,3.45,3.04,0.76,0.81,4.54,3.77,2.13,121.89,124.86,1600,2354,1871.29
311,0,110.63,110.69,53.89,53.91,10.14,3.6,4.07,0.88,4.4,3.87,0.68,0.88,6.49,4.38,0.28,16.29,14.73,1554,2336,1871.7
312,0,119.73,119.74,54.73,54.76,8.13,2.99,3.19,0.94,3.48,3.1,0.79,0.85,4.41,3.65,1.42,81.42,85.78,1601,2296,1843.11
313,0,16.38,16.4,53.76,53.76,7.27,2.53,2.68,0.94,3.06,2.65,0.82,0.83,3.73,3.21,2.84,162.72,165.86,1658,2544,1961.9
314,0,52.52,52.57,54.54,54.55,6.9,2.22,2.35,0.94,2.86,2.52,0.76,0.77,3.76,3.27,1.2,68.68,70.19,1630,2530,1939.68
315,0,126.1,126.15,54.66,54.72,5.36,1.65,1.73,0.95,2.19,1.86,0.84,0.76,2.59,2.47,1.17,67.25,66.32,1603,2378,1895.05
316,0,53.56,53.57,54.99,55.0,6.92,2.47,2.58,0.96,2.94,2.52,0.88,0.84,3.32,2.98,0.96,54.9,53.39,1629,2587,2002.99
317,0,66.82,66.82,54.86,54.91,5.6,1.74,1.84,0.95,2.25,1.96,0.82,0.76,2.73,2.56,1.18,67.89,70.18,1635,2339,1885.0
318,0,15.79,15.83,55.05,55.06,6.18,2.03,2.13,0.95,2.54,2.24,0.74,0.79,3.43,2.83,2.27,129.81,132.47,1666,2575,1929.44
319,0,65.2,65.2,54.86,54.92,5.39,1.7,1.77,0.96,2.21,1.89,0.74,0.77,2.99,2.45,2.27,130.24,134.38,1600,2404,1930.12
320,0,27.17,27.17,55.51,55.53,6.9,2.3,2.43,0.94,2.87,2.53,0.79,0.79,3.63,3.21,1.34,76.91,77.18,1562,2285,1848.28
321,0,58.05,58.1,56.03,56.1,7.72,2.58,2.77,0.93,3.33,2.89,0.72,0.79,4.64,3.68,1.47,84.4,84.52,1610,2289,1857.04
322,0,116.22,116.26,55.45,55.48,5.53,1.77,1.86,0.95,2.21,1.89,0.87,0.81,2.55,2.33,1.81,103.63,108.21,1640,2227,1853.56
323,0,108.75,108.8,55.64,55.68,5.66,1.8,1.89,0.95,2.33,1.99,0.84,0.78,2.76,2.56,1.97,112.99,111.48,1636,2336,1879.36
