IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
4613,0,1356,1356.3,1639,1640.02,120.28,572,639.0,0.9,52.15,47.34,10.0,11.25,5.22,4.21,1.49,85.6,88.21,5259,7907,6183.2
4614,0,1573,1573.08,1629,1629.71,81.36,342,367.0,0.93,32.89,29.02,10.77,10.29,3.05,2.82,1.23,70.46,71.52,5499,7935,6311.08
4615,0,1968,1968.33,1648,1648.23,161.74,759,854.0,0.89,71.06,65.05,9.22,10.75,7.71,6.05,1.81,103.84,103.21,5236,7912,6095.85
4616,0,542,542.24,1630,1630.67,125.2,578,629.0,0.92,54.38,48.64,9.43,10.64,5.76,4.57,0.56,32.23,32.99,5464,8145,6355.05
4617,0,748,748.49,1626,1626.18,110.91,551,599.0,0.92,45.88,40.35,11.7,12.16,3.92,3.32,0.36,20.41,18.89,5152,7689,6115.27
4618,0,1624,1624.89,1626,1625.99,69.84,286,301.0,0.95,28.32,24.23,9.9,10.2,2.86,2.38,2.41,137.86,138.29,5434,7884,6280.34
4619,0,1666,1666.25,1624,1624.25,90.77,387,419.0,0.92,36.69,33.21,9.49,10.36,3.87,3.21,2.84,162.55,162.24,5399,7837,6374.62
4620,0,199,199.32,1632,1632.36,107.54,504,538.0,0.94,45.34,40.62,11.31,10.88,4.01,3.73,2.29,131.42,136.57,5441,7719,6298.23
4621,0,803,803.17,1633,1633.57,199.92,964,1118.0,0.86,87.6,80.07,7.28,11.47,12.03,6.98,0.33,18.64,19.58,5250,8138,6223.45
4622,0,879,879.3,1642,1642.22,118.38,583,596.0,0.98,52.15,47.03,11.0,10.87,4.74,4.33,1.65,94.4,90.69,5230,7965,6252.11
4623,0,1144,1144.63,1635,1635.95,110.95,541,575.0,0.94,47.71,42.57,11.66,11.18,4.09,3.81,2.15,123.02,125.5,5056,7473,6006.72
4624,0,32,32.35,1639,1639.75,119.64,576,619.0,0.93,50.54,44.75,11.18,11.27,4.52,3.97,1.1,62.93,63.56,5467,8030,6368.66
4625,0,420,420.88,1624,1624.16,125.46,603,669.0,0.9,54.45,49.4,10.2,11.27,5.34,4.38,3.01,172.61,176.21,5383,7988,6327.85
4626,0,1019,1019.14,1628,1628.38,118.91,590,644.0,0.92,49.77,44.74,10.77,11.94,4.62,3.75,2.75,157.56,159.47,5259,7875,6203.73
4627,0,1082,1082.5,1646,1646.26,147.05,714,779.0,0.92,63.69,57.36,10.77,11.23,5.91,5.11,1.96,112.14,110.45,5276,7915,6278.39
4629,0,51,51.83,1638,1638.54,94.04,439,461.0,0.95,40.05,35.05,11.0,10.86,3.64,3.23,1.62,92.86,92.69,5540,7680,6366.64
